Team Name,Goalspg,Shotspg,yellowcardpg,redcardpg,Posseion%,PassAcc,AerialsWonpg,Shotedpg,Tacklespg,Interceptionpg,Foulspg,Offsidepg,ShotsOTpg,Dribblespg,Fouledpg,Rank
Tottenham,1.947368421,16.4,1.315789474,0.0526315789,58.8,83.8,16.3,9.4,16.3,10,10.1,2.3,5.7,11.5,10.4,3
Chelsea,1.631578947,15.9,1.105263158,0.105263158,54.4,84.3,16.2,9.9,16.7,11.1,9.6,2.8,5.8,13.5,10.7,5
Arsenal,1.947368421,15.6,1.5,0.0526315789,58.5,84.3,17,11.1,16.4,11.3,10.1,2.3,6.2,10.1,9.9,6
Crystal Palace,1.184210526,12.5,1.894736842,0,46.9,75.4,20.2,12.3,18,14.5,11.2,1.5,4,12.7,10.6,11
Burnley,0.947368421,9.9,1.710526316,0,45.1,70.5,25.2,15,14,10.6,9.2,2.6,3.4,5.7,11.1,7
Leicester,1.473684211,11.1,1.368421053,0.131578947,48.3,74.7,20.9,12.9,16.6,10.9,9.6,2.4,3.9,11.1,9.4,9
Newcastle United,1.026315789,11.9,1.368421053,0.0526315789,43.8,72.3,23.8,12.6,16.9,11.6,10.8,1.7,3.9,8,9.7,10
West Ham,1.263157895,9.8,1.921052632,0.0526315789,46.4,75.5,19.8,14.8,16.4,12.8,10,2.6,3.5,11.1,11.8,13
Stoke,0.921052632,10.1,1.631578947,0.0263157895,43.7,71.5,26,15.2,17.9,12.1,11.5,2.3,3.5,8.6,9.9,19
Brighton,0.894736842,10.1,1.421052632,0.0526315789,45.1,74.9,21.4,14.6,15.7,11.9,10.9,2.6,3.1,7.8,7.3,15
Southampton,0.973684211,11.8,1.657894737,0.0526315789,51,77.5,18.5,12.9,17.3,12.2,10.9,1.9,3.8,10,9.9,17
Everton,1.157894737,9.4,1.342105263,0.0789473684,46.7,74.3,20.4,14.2,16.9,13.5,12.1,2.2,3.2,6.9,9.6,8
Watford,1.157894737,11.6,1.657894737,0.105263158,49.3,75.5,22.6,10.9,17.6,12.3,11.6,1.9,3.5,8.7,10,14
Bournemouth,1.184210526,12.2,1.447368421,0.0263157895,48.5,77,19,14.4,13.4,9.7,8.9,1.4,4.2,9,10.8,12
West Bromwich Albion,0.815789474,9.9,1.921052632,0.0263157895,42.8,72.4,21.1,13.6,15.9,12.3,11.6,2.1,3,8.5,9.1,20
Huddersfield,0.736842105,9.5,1.631578947,0.0789473684,46.4,74,21.2,11.6,19.6,13.7,10.4,1.8,2.9,7.3,9.6,16
Swansea,0.736842105,8.9,1.342105263,0.0263157895,46,78.2,18.5,14.2,16.1,10.3,9.9,1,2.7,8.4,10.5,18
Chelsea,2.236842105,15.3,1.894736842,0,54,83.9,14.2,8.5,17.2,13.6,10.4,1.7,5.4,13.3,12.3,1
Tottenham,2.263157895,17.6,1.631578947,0,57.4,82.5,15,9.2,17.4,8.3,11.4,1.9,6.8,11.9,12,2
Manchester City,2.105263158,16.7,1.868421053,0.105263158,60.9,85.5,15.4,7.9,16.9,13.1,10.4,2.3,5.7,13.2,11.2,3
Arsenal,2.026315789,14.9,1.789473684,0.0789473684,56.5,83.8,16.7,11.4,17.7,14.2,10.5,2.5,5.3,12.1,10.2,5
Manchester United,1.421052632,15.6,2.052631579,0.0526315789,55,84.2,16.4,9.5,18.2,15.3,13.1,2.6,5.5,10.6,11.6,6
Liverpool,2.052631579,16.8,1.421052632,0,58.3,82.4,17.3,8.2,18.9,10.8,10.4,2,6.2,10.9,9.9,4
Everton,1.631578947,13.2,1.894736842,0.0526315789,51.5,79,17.5,11.8,18.8,12.1,12.1,2.2,5,10.6,10.8,7
Southampton,1.078947368,14.5,1.552631579,0.0526315789,53.1,80.5,17.1,11.5,17.8,13.5,11.3,1.9,4.7,8.4,10.9,8
West Ham,1.236842105,13.1,2.052631579,0.131578947,48.4,78.2,19.1,13.3,15.1,16.2,10.7,1.9,3.6,10.7,12,11
